Tahun Angkatan;Kuis;Tugas;URL;Materi;Keterangan
2020;29;1;13;65;Tidak Lulus
2020;55;15;32;118;Tidak Lulus
2020;1;0;4;0;Tidak Lulus
2020;34;14;14;94;Tidak Lulus
2020;26;10;7;65;Tidak Lulus
2020;39;14;18;111;Lulus
2020;33;13;24;82;Tidak Lulus
2020;1;0;3;9;Tidak Lulus
2020;1;0;2;8;Tidak Lulus
2020;35;7;14;49;Tidak Lulus
2020;3;0;0;4;Tidak Lulus
2020;4;0;21;48;Tidak Lulus
2020;40;11;10;124;Tidak Lulus
2020;25;5;8;61;Tidak Lulus
2020;11;0;2;74;Tidak Lulus
2020;24;10;10;86;Tidak Lulus
2020;15;8;9;67;Tidak Lulus
2020;47;22;42;77;Lulus
2020;43;22;41;105;Lulus
2020;57;15;60;98;Lulus
2020;51;17;34;43;Tidak Lulus
2020;49;15;84;92;Lulus
2020;47;17;34;1;Lulus
2020;24;14;6;77;Tidak Lulus
2020;23;8;9;58;Tidak Lulus
2020;11;1;4;37;Tidak Lulus
2020;32;10;25;78;Tidak Lulus
2020;39;13;8;58;Tidak Lulus
2020;29;5;23;74;Tidak Lulus
2020;14;10;3;29;Tidak Lulus
2020;46;13;23;69;Tidak Lulus
2020;48;10;85;65;Tidak Lulus
2020;11;0;18;83;Tidak Lulus
2020;21;6;34;61;Tidak Lulus
2020;26;8;2;39;Tidak Lulus
2020;34;13;10;84;Tidak Lulus
2020;38;16;14;104;Lulus
2020;2;0;3;25;Tidak Lulus
2020;24;10;30;129;Tidak Lulus
2020;22;3;18;52;Tidak Lulus
2020;117;17;39;192;Lulus
2020;66;15;85;101;Lulus
2020;52;15;72;128;Lulus
2020;60;20;74;105;Lulus
2020;41;33;60;164;Lulus
2020;70;13;29;111;Lulus
2020;55;18;31;140;Tidak Lulus
2020;90;11;28;84;Tidak Lulus
2020;4;8;8;62;Tidak Lulus
2020;38;17;78;141;Tidak Lulus
2020;25;7;3;45;Tidak Lulus
2020;52;13;38;88;Lulus
2020;29;12;50;92;Lulus
2020;55;15;14;97;Tidak Lulus
2020;58;7;9;58;Tidak Lulus
2020;6;0;4;33;Tidak Lulus
2020;47;14;29;95;Tidak Lulus
2020;48;21;52;97;Tidak Lulus
2020;50;14;22;68;Tidak Lulus
2020;38;14;53;100;Tidak Lulus
2020;1;14;32;112;Tidak Lulus
2020;35;13;6;88;Tidak Lulus
2020;2;21;82;94;Lulus
2020;43;18;219;79;Lulus
2020;45;14;19;80;Tidak Lulus
2020;23;5;11;63;Tidak Lulus
2020;87;14;21;183;Tidak Lulus
2020;14;10;13;12;Tidak Lulus
2020;60;20;61;179;Tidak Lulus
2020;32;21;24;90;Tidak Lulus
2020;110;22;69;97;Lulus
2020;39;19;40;148;Lulus
2020;26;10;21;73;Tidak Lulus
2020;50;15;26;104;Lulus
2020;37;16;20;67;Lulus
2020;90;13;50;59;Lulus
2020;41;7;21;49;Lulus
2020;37;6;10;73;Tidak Lulus
2020;41;12;16;100;Tidak Lulus
2020;39;12;31;77;Tidak Lulus
2020;65;15;116;72;Tidak Lulus
2020;0;0;0;0;Tidak Lulus
2020;19;5;19;71;Tidak Lulus
2020;2;0;1;21;Tidak Lulus
2020;57;14;41;60;Tidak Lulus
2020;9;5;3;44;Tidak Lulus
2020;23;9;14;64;Tidak Lulus
2020;3;0;8;11;Tidak Lulus
2020;28;12;18;161;Tidak Lulus
2020;33;14;85;103;Lulus
2020;22;12;8;60;Tidak Lulus
2020;71;17;27;181;Lulus
2020;48;15;50;99;Lulus
2020;54;17;29;75;Lulus
2020;40;4;36;61;Tidak Lulus
2020;30;13;7;59;Tidak Lulus
2020;39;14;60;6;Tidak Lulus
2020;31;7;20;79;Tidak Lulus
2020;50;16;44;72;Lulus
2020;85;15;27;71;Lulus
2020;50;13;66;78;Lulus
2020;75;18;109;112;Lulus
2020;68;16;43;110;Lulus
2020;10;0;8;22;Tidak Lulus
2020;90;23;223;197;Lulus
2020;23;8;10;58;Tidak Lulus
2020;27;16;12;67;Lulus
2020;40;12;81;147;Tidak Lulus
2020;59;16;92;104;Lulus
2020;31;12;27;79;Lulus
2020;2;0;3;46;Tidak Lulus
2020;37;17;60;115;Lulus
2020;27;7;13;104;Tidak Lulus
2020;3;0;1;30;Tidak Lulus
2020;32;11;35;63;Tidak Lulus
2020;4;0;7;54;Tidak Lulus
2020;46;6;4;40;Tidak Lulus
2020;17;7;2;44;Tidak Lulus
2020;31;4;33;71;Tidak Lulus
2020;22;5;7;38;Tidak Lulus
2020;111;9;56;93;Tidak Lulus
2020;13;1;16;72;Tidak Lulus
2020;58;15;107;149;Tidak Lulus
2020;26;13;7;77;Tidak Lulus
2020;20;4;3;38;Tidak Lulus
2020;116;17;19;81;Lulus
2020;3;0;7;33;Tidak Lulus
2020;45;13;34;104;Tidak Lulus
2020;28;11;17;60;Tidak Lulus
2019;3;0;12;29;Tidak Lulus
2019;4;1;2;42;Tidak Lulus
2019;0;0;2;7;Tidak Lulus
2019;7;0;7;51;Tidak Lulus
2019;5;3;6;25;Tidak Lulus
2019;2;0;5;29;Tidak Lulus
2019;0;0;2;16;Tidak Lulus
2019;49;8;49;42;Lulus
2019;51;13;15;65;Lulus
2019;41;11;11;104;Lulus
2019;1;0;0;1;Tidak Lulus
2019;0;0;0;0;Tidak Lulus
2019;2;1;1;4;Tidak Lulus
2019;57;15;199;187;Lulus
2019;30;6;21;117;Tidak Lulus
2019;68;15;78;151;Tidak Lulus
2019;40;10;20;90;Tidak Lulus
2019;52;13;91;105;Lulus
2019;43;16;49;108;Lulus
2019;37;13;30;95;Lulus
2019;6;2;15;31;Tidak Lulus
2019;7;1;0;15;Tidak Lulus
2019;20;2;17;45;Tidak Lulus
2019;55;13;126;2;Lulus
2019;51;11;2;129;Lulus
2019;42;3;2;76;Tidak Lulus
2019;27;9;20;75;Lulus
2019;35;8;27;32;Lulus
2019;11;2;10;67;Tidak Lulus
2019;42;7;36;126;Lulus
2019;57;12;42;73;Lulus
2019;19;5;12;195;Tidak Lulus
2019;25;7;40;73;Tidak Lulus
2019;34;11;71;111;Lulus
2019;21;10;3;72;Tidak Lulus
2019;33;13;57;87;Lulus
2019;19;5;10;51;Tidak Lulus
2019;34;9;31;90;Lulus
2019;39;13;33;88;Lulus
2019;0;0;0;0;Tidak Lulus
2019;9;1;2;30;Tidak Lulus
2019;40;8;27;86;Lulus
2019;20;7;19;71;Lulus
2019;16;4;5;36;Tidak Lulus
2019;42;12;64;109;Lulus
2019;2;1;0;16;Tidak Lulus
2019;21;2;12;52;Tidak Lulus
2018;6;2;3;62;Tidak Lulus
2018;54;10;69;126;Tidak Lulus
2018;17;5;11;56;Tidak Lulus
2018;35;17;70;112;Lulus
2018;68;15;182;98;Lulus
2018;34;20;37;125;Lulus
2018;41;12;33;83;Lulus
2018;41;14;25;73;Lulus
2018;40;15;28;69;Lulus
2018;36;15;60;80;Lulus
2018;11;4;4;48;Tidak Lulus
2018;13;6;14;51;Tidak Lulus
2017;1;0;3;3;Tidak Lulus
2017;22;7;5;77;Tidak Lulus
2017;28;4;19;63;Tidak Lulus
2017;73;16;38;115;Lulus
2017;74;13;22;175;Tidak Lulus
2015;29;7;20;85;Tidak Lulus
